lag,coefficient,abs_coefficient,rank_abs
1,1.05378011277,1.05378011277,1
12,-0.481862222276,0.481862222276,2
13,0.478366525538,0.478366525538,3
24,-0.229992231974,0.229992231974,4
25,0.221610103545,0.221610103545,5
36,-0.105306281649,0.105306281649,6
37,0.0977494205961,0.0977494205961,7
48,-0.0378086846781,0.0378086846781,8
49,0.0364124832523,0.0364124832523,9
3,-0.0192856438647,0.0192856438647,10
2,-0.0161259059058,0.0161259059058,11
22,0.013613367265,0.013613367265,12
4,-0.00736539499325,0.00736539499325,13
21,-0.00735124462765,0.00735124462765,14
34,0.0071039839327,0.0071039839327,15
15,-0.00607786781702,0.00607786781702,16
41,0.00592438805527,0.00592438805527,17
6,-0.0053211245272,0.0053211245272,18
10,0.00521276271339,0.00521276271339,19
44,0.00490533984201,0.00490533984201,20
17,-0.00465960899654,0.00465960899654,21
39,-0.00416876420649,0.00416876420649,22
20,0.00403974456538,0.00403974456538,23
43,-0.00396561388074,0.00396561388074,24
16,0.00385636870747,0.00385636870747,25
23,-0.0033636332937,0.0033636332937,26
14,-0.0033144030996,0.0033144030996,27
18,-0.00323975035201,0.00323975035201,28
33,-0.00288822769119,0.00288822769119,29
29,-0.00287161021016,0.00287161021016,30
26,-0.00272655301452,0.00272655301452,31
32,0.00246229405646,0.00246229405646,32
46,-0.00223158995931,0.00223158995931,33
9,0.00206879569534,0.00206879569534,34
38,0.00202512290737,0.00202512290737,35
11,0.00201499199018,0.00201499199018,36
35,-0.00169956678998,0.00169956678998,37
8,-0.0016742091907,0.0016742091907,38
47,0.00164731044706,0.00164731044706,39
27,0.00153656374733,0.00153656374733,40
7,-0.00131483788378,0.00131483788378,41
5,-0.00126326163708,0.00126326163708,42
19,-0.00111927700337,0.00111927700337,43
42,-0.00107130167961,0.00107130167961,44
30,-0.000987091124949,0.000987091124949,45
28,0.000808879304405,0.000808879304405,46
45,0.000738937385852,0.000738937385852,47
31,0.000261534281815,0.000261534281815,48
40,-0.000168977052361,0.000168977052361,49
